Scenario ID,Health Signal,Subsystem,Current Task,Condition,Anomaly,Recommended Procedure,Expected Outcome,Operator Approval Required,Priority
SCN-03517,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03518,Yellow,Payload,Calibration,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-03519,Yellow,Thermal,Idle,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-03520,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03521,Red,Payload,Downlink,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-03522,Red,Power,Downlink,Solar Panel Failure,Power Failure,Disable Payload,Reduce power consumption,Yes,Critical
SCN-03523,Yellow,Power,Calibration,Battery 30-70%,Potential Power Anomaly,Reduce Payload Power,Battery drain reduced,Yes,Medium
SCN-03524,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03525,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03526,Yellow,Power,Calibration,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-03527,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03528,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03529,Green,Thermal,Orbit Correction,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03530,Red,Payload,Orbit Correction,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-03531,Red,Thermal,Orbit Correction,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-03532,Green,Thermal,Orbit Correction,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03533,Green,Thermal,Capturing Earth Images,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03534,Red,Storage,Downlink,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-03535,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03536,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03537,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03538,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03539,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03540,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03541,Yellow,Storage,Orbit Correction,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-03542,Green,Power,Calibration,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-03543,Yellow,Thermal,Downlink,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-03544,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03545,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03546,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03547,Red,Thermal,Calibration,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-03548,Yellow,Payload,Orbit Correction,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-03549,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03550,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03551,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03552,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03553,Green,Communication,Calibration,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03554,Yellow,Communication,Calibration,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-03555,Green,Power,Idle,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-03556,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03557,Green,Power,Calibration,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-03558,Green,Power,Calibration,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-03559,Yellow,Power,Downlink,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-03560,Yellow,Thermal,Orbit Correction,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-03561,Red,Storage,Calibration,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-03562,Yellow,Communication,Calibration,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-03563,Green,Payload,Orbit Correction,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03564,Yellow,Thermal,Orbit Correction,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-03565,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03566,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03567,Red,Communication,Orbit Correction,Communication Lost,Communication Failure,Queue Commands,Resume during next communication window,Yes,Critical
SCN-03568,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03569,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03570,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03571,Red,Thermal,Idle,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-03572,Green,Power,Downlink,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-03573,Red,Storage,Orbit Correction,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-03574,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03575,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03576,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03577,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03578,Yellow,Power,Idle,Battery 30-70%,Potential Power Anomaly,Reduce Payload Power,Battery drain reduced,Yes,Medium
SCN-03579,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03580,Green,Power,Calibration,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-03581,Yellow,Power,Downlink,Battery 30-70%,Potential Power Anomaly,Reduce Payload Power,Battery drain reduced,Yes,Medium
SCN-03582,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03583,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03584,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03585,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03586,Green,Power,Orbit Correction,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-03587,Green,Power,Idle,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-03588,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03589,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03590,Yellow,Thermal,Orbit Correction,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-03591,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03592,Yellow,Storage,Orbit Correction,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-03593,Green,Thermal,Orbit Correction,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03594,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03595,Yellow,Storage,Downlink,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-03596,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03597,Green,Payload,Orbit Correction,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03598,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03599,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03600,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03601,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03602,Green,Thermal,Capturing Earth Images,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03603,Yellow,Communication,Orbit Correction,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-03604,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03605,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03606,Green,Power,Idle,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-03607,Green,Power,Idle,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-03608,Green,Power,Idle,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-03609,Red,Power,Downlink,Solar Panel Failure,Power Failure,Disable Payload,Reduce power consumption,Yes,Critical
SCN-03610,Red,Thermal,Downlink,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-03611,Yellow,Power,Capturing Earth Images,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-03612,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03613,Yellow,Thermal,Orbit Correction,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-03614,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03615,Yellow,Thermal,Calibration,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-03616,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03617,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03618,Yellow,Storage,Downlink,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-03619,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03620,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03621,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03622,Yellow,Thermal,Idle,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-03623,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03624,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03625,Green,Power,Capturing Earth Images,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-03626,Red,Communication,Capturing Earth Images,Communication Lost,Communication Failure,Queue Commands,Resume during next communication window,Yes,Critical
SCN-03627,Red,Payload,Orbit Correction,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-03628,Red,Payload,Downlink,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-03629,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03630,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03631,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03632,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03633,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03634,Yellow,Thermal,Calibration,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-03635,Red,Power,Idle,Solar Panel Failure,Power Failure,Disable Payload,Reduce power consumption,Yes,Critical
SCN-03636,Yellow,Power,Orbit Correction,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-03637,Green,Power,Capturing Earth Images,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-03638,Red,Power,Calibration,Solar Panel Failure,Power Failure,Disable Payload,Reduce power consumption,Yes,Critical
SCN-03639,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03640,Yellow,Communication,Orbit Correction,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-03641,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03642,Yellow,Storage,Idle,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-03643,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03644,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03645,Green,Thermal,Capturing Earth Images,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03646,Green,Power,Orbit Correction,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-03647,Yellow,Payload,Downlink,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-03648,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03649,Yellow,Storage,Downlink,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-03650,Green,Communication,Calibration,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03651,Red,Storage,Calibration,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-03652,Yellow,Payload,Idle,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-03653,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03654,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03655,Green,Communication,Calibration,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03656,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03657,Green,Communication,Idle,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03658,Yellow,Payload,Calibration,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-03659,Green,Power,Orbit Correction,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-03660,Yellow,Communication,Calibration,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-03661,Yellow,Power,Downlink,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-03662,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03663,Yellow,Thermal,Orbit Correction,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-03664,Yellow,Communication,Capturing Earth Images,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-03665,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03666,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03667,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03668,Red,Communication,Capturing Earth Images,Communication Lost,Communication Failure,Queue Commands,Resume during next communication window,Yes,Critical
SCN-03669,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03670,Yellow,Payload,Capturing Earth Images,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-03671,Green,Communication,Calibration,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03672,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03673,Yellow,Payload,Calibration,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-03674,Red,Thermal,Idle,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-03675,Yellow,Storage,Orbit Correction,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-03676,Green,Power,Orbit Correction,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-03677,Green,Thermal,Idle,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03678,Yellow,Storage,Capturing Earth Images,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-03679,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03680,Green,Payload,Orbit Correction,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03681,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03682,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03683,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03684,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03685,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03686,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03687,Yellow,Payload,Calibration,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-03688,Red,Storage,Calibration,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-03689,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03690,Red,Thermal,Capturing Earth Images,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-03691,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03692,Yellow,Storage,Orbit Correction,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-03693,Green,Power,Orbit Correction,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-03694,Yellow,Payload,Orbit Correction,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-03695,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03696,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03697,Yellow,Power,Capturing Earth Images,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-03698,Yellow,Storage,Downlink,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-03699,Yellow,Power,Downlink,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-03700,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03701,Yellow,Power,Capturing Earth Images,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-03702,Yellow,Communication,Idle,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-03703,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03704,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03705,Red,Storage,Orbit Correction,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-03706,Green,Thermal,Idle,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03707,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03708,Red,Power,Orbit Correction,Battery < 20%,Power Failure,Enter Safe Mode,Prevent complete battery depletion,Yes,Critical
SCN-03709,Yellow,Payload,Orbit Correction,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-03710,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03711,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03712,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03713,Green,Power,Downlink,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-03714,Yellow,Storage,Idle,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-03715,Red,Power,Idle,Battery < 20%,Power Failure,Enter Safe Mode,Prevent complete battery depletion,Yes,Critical
SCN-03716,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03717,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03718,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03719,Green,Payload,Orbit Correction,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03720,Red,Communication,Calibration,Communication Lost,Communication Failure,Queue Commands,Resume during next communication window,Yes,Critical
SCN-03721,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03722,Green,Payload,Orbit Correction,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03723,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03724,Red,Thermal,Calibration,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-03725,Green,Power,Orbit Correction,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-03726,Red,Payload,Orbit Correction,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-03727,Green,Power,Idle,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-03728,Red,Power,Idle,Battery < 20%,Power Failure,Enter Safe Mode,Prevent complete battery depletion,Yes,Critical
SCN-03729,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-03730,Yellow,Power,Idle,Battery 30-70%,Potential Power Anomaly,Reduce Payload Power,Battery drain reduced,Yes,Medium
SCN-03731,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03732,Green,Thermal,Idle,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03733,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03734,Yellow,Power,Idle,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-03735,Yellow,Communication,Downlink,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-03736,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03737,Yellow,Communication,Calibration,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-03738,Green,Communication,Idle,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03739,Red,Thermal,Idle,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-03740,Green,Thermal,Capturing Earth Images,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03741,Red,Thermal,Orbit Correction,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-03742,Green,Thermal,Idle,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-03743,Green,Power,Capturing Earth Images,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-03744,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-03745,Green,Power,Orbit Correction,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-03746,Yellow,Power,Downlink,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-03747,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03748,Yellow,Storage,Calibration,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-03749,Yellow,Storage,Downlink,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-03750,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-03751,Yellow,Payload,Calibration,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
